date,Qi_past,Qdiv_past,V_sqd,Qi_sqd,Qo_sqd,V_sau,Qi_sau,Qo_sau,Qin_calc_sau,Qout_calc_sau,Qin_calc_sqd,Qout_calc_sqd,T_Gola,P_Gola,E_Gola,T_Pasteral,P_Pasteral,E_Pasteral,T_Susqueda,P_Susqueda,E_Susqueda,T_Sau,P_Sau,E_Sau,T_Ripoll,P_Ripoll,E_Ripoll,Q_Gola,Q_Pasteral,Q_Susqueda,Q_Sau,Q_Ripoll
2015-04-01,14.1145833333333,4.0145833333333,228.341,18.4895833333332,14.1145833333333,145.613,19.716435185185,18.4895833333332,19.716435185185,18.4895833333332,18.4895833333335,14.1145833333333,12.1929165833333,0.3,2.28079384564401,12.1929165833333,0.3,2.28079384564401,6.56675010416667,0,2.28308781416383,6.56675010416667,0,2.28308781416383,6.56675010416667,0,2.28308781416383,17.01,10.1,18.4895833333335,19.716435185185,16.058366205
2015-04-02,13.5219907407407,3.5319907407407,228.041,12.1562499999997,13.5219907407407,146.478,17.5879629629628,9,19.0115740740742,9,10.0497685185183,13.5219907407407,12.4950002083333,0,2.71193772186853,12.4950002083333,0,2.71193772186853,6.95008340475,0,2.66814123121186,6.95008340475,0,2.66814123121186,6.95008340475,0,2.66814123121186,17.68,9.99,10.0497685185183,19.0115740740742,14.487640436
2015-04-03,13.4837962962963,3.4937962962963,227.311,4.28240740740755,13.4837962962963,147.381,14.8750000000001,3,13.4513888888888,3,5.03472222222234,13.4837962962963,11.5262501625,0,2.97992576231106,11.5262501625,0,2.97992576231106,7.60841679583333,0,2.69283899336089,7.60841679583333,0,2.69283899336089,7.60841679583333,0,2.69283899336089,18.57,9.99,5.03472222222234,13.4513888888888,13.763922962
2015-04-04,13.8032407407407,3.7732407407407,226.415,3.45601851851845,13.8032407407407,148.542,15.3217592592591,2,15.4375,2,3.43287037037016,13.8032407407407,11.2054165625,0.9,2.25214751916077,11.2054165625,0.9,2.25214751916077,5.96258337916667,2.8,2.0111224573605,5.96258337916667,2.8,2.0111224573605,5.96258337916667,2.8,2.0111224573605,16.43,10.03,3.43287037037016,15.4375,13.287795282
2015-04-05,13.2430555555556,3.1730555555556,225.153,1.5,13.2430555555556,149.772,15.2847222222223,1.5,15.736111111111,1.5,3.06828703703702,17.6747685185185,10.4679165375,2.2,2.25594291555625,10.4679165375,2.2,2.25594291555625,4.28966666675,0,2.07635092835737,4.28966666675,0,2.07635092835737,4.28966666675,0,2.07635092835737,16.18,10.07,3.06828703703702,15.736111111111,12.856017068
2015-04-06,13.212962962963,3.232962962963,224.245,3.7222222222223,13.212962962963,150.758,12.8152777777777,1.6,13.0120370370373,1.6,2.70370370370389,13.212962962963,9.50541664583333,0,2.51518603344582,9.50541664583333,0,2.51518603344582,3.67925008683333,0,2.33021833913029,3.67925008683333,0,2.33021833913029,3.67925008683333,0,2.33021833913029,15.65,9.98,2.70370370370389,13.0120370370373,12.08681077
2015-04-07,13.2685185185185,3.4585185185185,223.891,7.71296296296275,13.2685185185185,151.078,10.0101851851852,6.7,10.4037037037036,6.7,9.17129629629612,13.2685185185185,8.7345832375,0,2.78418473733702,8.7345832375,0,2.78418473733702,4.39383344541667,0,2.16093317788941,4.39383344541667,0,2.16093317788941,4.39383344541667,0,2.16093317788941,15.1,9.81,9.17129629629612,10.4037037037036,11.380725446
2015-04-08,13.6180555555556,3.2880555555556,225.242,29.3935185185185,13.6180555555556,149.892,12.7939814814816,26,12.2731481481481,26,29.2546296296297,13.6180555555556,8.60958330916667,0,3.11822418089787,8.60958330916667,0,3.11822418089787,5.72300010833333,0,2.79305812337451,5.72300010833333,0,2.79305812337451,5.72300010833333,0,2.79305812337451,14.96,10.33,29.2546296296297,12.2731481481481,10.767753878
2015-04-09,14.3402777777778,6.3802777777778,226.605,31.1342592592592,14.3402777777778,148.469,11.5185185185184,28,11.5300925925926,28,30.1157407407408,14.3402777777778,8.880416675,0,3.20311528395435,8.880416675,0,3.20311528395435,6.77300010183333,0,2.86203853790877,6.77300010183333,0,2.86203853790877,6.77300010183333,0,2.86203853790877,16.25,7.96,30.1157407407408,11.5300925925926,10.457250395
2015-04-10,11.9976851851852,5.9176851851852,228.172,30.7245370370373,11.9976851851852,147.056,11.7731481481483,28,11.6458333333335,28,30.1342592592594,11.9976851851852,10.1929165625,0,3.05383028161182,10.1929165625,0,3.05383028161182,6.69591667083333,1,2.60452147474367,6.69591667083333,1,2.60452147474367,6.69591667083333,1,2.60452147474367,12.92,6.08,30.1342592592594,11.6458333333335,10.17226047
