date,temperature_2m,relative_humidity_2m,surface_pressure,cloud_cover,et0_fao_evapotranspiration,wind_speed_10m,shortwave_radiation,soil_temperature_0_to_7cm,soil_temperature_7_to_28cm,soil_temperature_28_to_100cm,soil_temperature_100_to_255cm,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,soil_moisture_28_to_100cm,soil_moisture_100_to_255cm,tmin,tmax,pr,pet
2001-02-08,13.785333375,63.2313279583333,1004.39549708333,39.4583333333333,0.116965410916667,19.10621225,141.416666666667,12.9811669583333,11.9686669166667,11.25825,13.052,0.268666666666667,0.28675,0.293,0.221,10.389501,17.439499,0.1,1.39616725674696
2001-02-09,9.9353335875,68.8805681666667,1017.92843708333,28.5416666666667,0.0737614696166667,7.68457861666667,138.25,11.15825025,11.3061668333333,11.3999174583333,13.03325,0.269625,0.283875,0.2925,0.221416666666667,6.4395,13.3395,0.4,1.22018405801315
2001-02-10,10.0082500208333,70.820925375,1027.80320291667,10.9166666666667,0.0775719486916667,7.23959499583333,145.75,10.8311669583333,10.5811668333333,11.4040840416667,12.9895,0.271916666666667,0.281916666666667,0.2915,0.222,5.2895,14.7895,0,1.45654951643383
2001-02-11,11.3790834791667,81.228024375,1034.42460416667,5.625,0.0736639081666667,4.47344207083333,139.375,11.1582501666667,10.7874169166667,11.3645005,12.9436666666667,0.267333333333333,0.279625,0.290708333333333,0.222,6.5895004,16.689499,0,1.60702350799819
2001-02-12,11.1957502166667,87.9629884583333,1030.41102916667,70.6666666666667,0.0714099645833333,5.0757439875,143.625,11.0395000833333,11.0582502083333,11.389501,12.9186670833333,0.263833333333333,0.278083333333333,0.290333333333333,0.222,6.7895,16.3895,0,1.58269790613474
2001-02-13,10.1957501333333,82.8879802083333,1020.9613625,83.4583333333333,0.0500775221041667,12.6639355708333,70,10.7499169166667,10.908250125,11.4395,12.889501,0.267708333333333,0.277541666666667,0.288833333333333,0.222,6.6394997,12.889501,2.8,1.21201114200796
2001-02-14,9.69991692083333,84.0814852916667,1018.52124291667,90.3333333333333,0.0405140899625,17.77567725,68.875,10.768666875,10.6957501666667,11.420750375,12.889501,0.306541666666667,0.279916666666667,0.288,0.222,7.7895,11.0895,9.5,0.880690274912094
2001-02-15,11.489500125,73.4436465,1024.75501,38.0833333333333,0.0839999466666667,18.9803620416667,135,11.3332503333333,10.9249168333333,11.40200075,12.858250375,0.3135,0.290833333333333,0.288,0.222,9.5395,13.9895,6,1.12323368731795
2001-02-16,10.94575025,69.4012031666667,1027.36170833333,3.20833333333333,0.0901848700741667,13.7679312625,153,10.6228335416667,10.7665834583333,11.4249169583333,12.8395,0.296083333333333,0.293541666666667,0.287541666666667,0.222083333333333,8.2395,13.7895,0,1.23716859180688
2001-02-17,9.3061667875,68.8051622916667,1025.340525,33.625,0.0900441846808333,13.2822829375,136.666666666667,10.4332502083333,10.2999168333333,11.3999174583333,12.8395,0.287583333333333,0.292041666666667,0.287,0.223,5.1895,13.7395,0,1.47028119655284
2001-02-18,8.7957499625,65.7038724583333,1025.68178333333,57.2916666666667,0.0885581197083333,24.7520352083333,100.416666666667,10.2270002083333,10.3103334583333,11.3395000416667,12.8395,0.281708333333333,0.290208333333333,0.286916666666667,0.223,6.9395,10.5395,0,0.939737723924327
2001-02-19,10.2353333958333,69.1316983333333,1027.53473333333,0.708333333333333,0.0896837137916667,7.71027077083333,168.333333333333,10.4082501,10.2436667916667,11.2603333333333,12.7895,0.276,0.287833333333333,0.286,0.223,5.6895,15.0395,0,1.62631783421556
2001-02-20,10.3665834083333,69.327054375,1024.47142125,42.375,0.0960771927416667,7.77576065,171.083333333333,10.2895001333333,10.2957501666667,11.20825,12.7728333333333,0.271041666666667,0.284875,0.285416666666667,0.223,4.8894997,16.0395,0,1.80343707637068
2001-02-21,10.3790834666667,74.2277259583333,1023.3573925,62.0416666666667,0.0858142337916667,6.2876812375,164.375,10.6061668416667,10.4186668333333,11.170750375,12.7395,0.266041666666667,0.281583333333333,0.284416666666667,0.223,5.7395,15.8395,0,1.75671685436896
2001-02-22,12.058249925,74.452664375,1015.91539708333,15.5833333333333,0.0936269014833333,4.27459449166667,172.416666666667,11.3207502125,10.7624168333333,11.17700025,12.727,0.260708333333333,0.277833333333333,0.2825,0.223,5.4395,18.589499,0,2.11505986130281
2001-02-23,11.5853334333333,75.9354988333333,1007.5095325,46.0833333333333,0.0913718429833333,6.82799392083333,168.791666666667,11.7728335833333,11.1415835,11.24575,12.6936666666667,0.2565,0.27525,0.2815,0.223,7.5895004,15.9895,0.1,1.69742563020445
2001-02-24,9.38116686666667,75.6039217083333,1003.47650166667,99.75,0.0487637288279167,15.8387406333333,48.75,11.4124168333333,11.39575025,11.3478337083333,12.6895,0.276083333333333,0.274291666666667,0.281,0.223,7.2395,10.6895,6.8,0.995508288696289
2001-02-25,6.3874166375,63.8090543333333,1006.72918875,64.1666666666667,0.0798117972916667,22.4162658333333,83.5,9.63533345833333,10.2520002083333,11.3603337916667,12.6895,0.308541666666667,0.281208333333333,0.2815,0.223,3.5895,8.7895,4.7,1.10825927241286
2001-02-26,5.77283341666667,56.4328033333333,1009.02728958333,12.1666666666667,0.108351894416667,14.9525269583333,187.416666666667,8.552000025,9.17283358333333,11.195750375,12.683250125,0.29975,0.288208333333333,0.281,0.223,1.0895,10.9395,0,1.53178629212834
2001-02-27,7.22491669166667,69.5325773333333,996.092265833333,76.7083333333333,0.0837328732708333,17.5938891570833,132.666666666667,8.77908346666667,9.30616695833333,11.02075,12.639501,0.291125,0.288125,0.281333333333333,0.223,4.1394997,12.139501,2,1.52104252204669
2001-02-28,6.4186667125,73.9785606666667,996.1858,67.7916666666667,0.0731591584833333,5.95429425416667,158.875,8.8707501125,9.24575025,10.874916875,12.6145005,0.294666666666667,0.288125,0.282,0.223,2.5895,11.2895,1.7,1.53022658299503
